_start(ARM) 0x8000000
CanUnitCrossTerrain 0x8018D68
SetupMapRowPointers 0x801906C
LoadChapterMapGfx 0x80191D4
SyncTilesFromMapBuffer 0x801926C
RefreshTerrainMap 0x801932C
RefreshEntityMaps 0x8019ABC
SetMovCostTable 0x8019CE0
MapMovementMarkMovementEdges 0x801A0FC
MapMarkMovementEdges 0x801A1E8
MapSetInRange 0x801A3D8
MapSetInMagicSealedRange 0x801B148
StartupDebugMenu_InitializeFileEffect 0x801BC80
DisplayUnitEffectRange 0x801C4D0
CanMoveActiveUnitTo 0x801CEF4
PlayerPhase_ResumeRangeDisplay 0x801CFB4
Loop6C_MLVCHC 0x801D0C8
GetEnemyStartCursorPosition 0x801D6A0
ADJUSTFROMXI_MoveCameraOnSomeUnit 0x801D77C
GasTrapEffectGfx_Setup 0x801EC44
ItemSelectMenu_Usability 0x802228C
StealCommandUsability 0x8022F78
StealItemMenuCommand_Usability 0x80230E8
AttackCommandUsability 0x802357C
ForEachUnitInRange 0x80239B0
TryAddToDropTargetList 0x8023E6C
SMS_Init 0x8024CF8
SMS_RegisterUsage 0x8024DEC
SMS_SyncIndirect 0x8025580
GetUnitBattleMapSpritePaletteIndex 0x80256C8
SMS_GetNewInfoStruct 0x80258D8
DisplayChapterTileMarker 0x8025A9C
CanUseHealingItem 0x80272E4
CanUseLockpick 0x80273B8
SimulateBattle 0x80283A4
ComputeLethalityChance 0x8028E1C
GetStatIncrease 0x80295E0
GetAutoleveledStat 0x8029604
SaveUnitsFromBattle 0x8029A70
BattleUnit_DidWRankGoUp 0x8029BE8
UpdateUnitFromBattleUnit 0x8029C24
SetupBattleUnitEquippedWeapon 0x802A0A4
ResetTraps 0x802BA48
AddSnagsAndWalls 0x802BBB8
GetMapChangesPointerById 0x802BCD0
GetMapChangesIdAt 0x802BD0C
ApplyMapChangesById 0x802BD68
RemoveMapChange 0x802BDE8
UpdateUnitsUnderRoof 0x802BE40
AddArrowTrapTargetsToTargetList 0x802BEC0
MakeTargetListForTurnTrapDamage 0x802BFEC
ExecLatona 0x802C92C
LockGameGraphicsLogic 0x802D3B4
AddItemToConvoy 0x802E790
LoadPlayerUnitsFromUnitStack2 0x802E960
GetUnitBestWRankType 0x802EAC0
GetClassBestWRankType 0x802EAEC
PrepareBalancedArenaFight 0x802EE14
ActionSupport 0x802F540
DropRescuedUnitIfDead 0x802F754
CanUnitUseAttack 0x8031384
StartBottomHelpText 0x8032560
AddWeaponStatsAfterRound 0x80334E8
StartBattleForecast 0x80340FC
MineFireTrap_80375A0 0x8034374
GetNonEmptyBallistaAt 0x8034698
GetUnitAiAttackPriority 0x8034ACC
SortAiUnitQueue 0x8034C84
CpPerform_PerformCombat 0x8035294
AiFindPositionOfCharacter 0x803589C
AiFindClosestPositionWithUnitOfClass 0x803598C
CouldStationaryUnitBeInRangeHeuristic 0x8035D50
CouldUnitBeInRangeHeuristic 0x8035DA4
FillMovementAndRangeMapForItem 0x8036650
GetItemAiStealPriority 0x803688C
AiIsCharacterOnMap 0x803707C
AiIsPositionLootable 0x803710C
SetupUnitStatusStaffAIFlags 0x8037218
SetupUnitHealStaffAIFlags 0x8037260
AiScript_Exec 0x80376D8
AiScriptCmd_02_ChangeAi 0x8037818
IsUnitEnemyWithActiveUnit 0x8037914
AiScriptCmd_04_ActionOnSelectedCharacter 0x8037A68
AiScriptCmd_05_DoStandardAction 0x8037B00
AiScriptCmd_0D_MoveTowardsCharacterUntilInRange 0x8037CC8
AiScriptCmd_0F_MoveTowardsUnitWithClass 0x8037D8C
AiScriptCmd_10_DoLooting 0x8037DD0
AiScriptCmd_11_MoveTowardsSafety 0x8037EC8
AiDoBerserkAction 0x80384EC
AiDoBerserkMove 0x803850C
AiTrySimulateBattle 0x8038DA4
AiGetPositionUnitSafetyWeight 0x8039344
AiUnitTryMoveTowardsEscapePoint 0x8039894
AiGetStaffAiIndex 0x803AA70
GetAiSafestAccessibleAdjacentPosition 0x803AB80
AiSetMovCostTableWithPassableWalls 0x803BE04
AiSetMovCostTableWithTerrainSetAsPassable 0x803BE3C
NameSelect_DrawNameText 0x803F294
SioMenu_8047AF4 0x8042464
SioMenu_80480B4 0x8042A90
ITEMRANGEDONE_sub_804AF2C 0x8046730
StartMenuAdjusted 0x804A224
LinkTargets 0x804AD50
TargetSelection_HandleSelectInput 0x804AFB0
GetFarthestTargetIndex 0x804B048
LinkTargetsOrdered 0x804B0A8
GetFirstTargetPointer 0x804B15C
ekrBattle_8050244 0x804B640
StartEfxQuake 0x804E804
StartEfxSpellCast 0x804FB6C
SpellFx_WriteBgMap 0x80504DC
BeginAnimsOnBattleAnimations 0x80509A4
loadUnitKakudai 0x80516E8
IsItemDisplayedInBattle 0x8053374
initBothAIS 0x8054248
EfxThunderBG_Main 0x80581A4
StartEfxDamageMojiEffectOBJ 0x80624E0
FillBGRect 0x80669B4
ApplyFlashingPaletteAnimation 0x8066F64
FireDragonBGAnimation14 0x80654D8
GetDeadEnemyAmount 0x8079FB0
DrawStatScreenPage 0x80804C8
StartStatScreenHelpTextBubble 0x80814F4
Loop6CUI1_HideTransition 0x80849D0
Loop16CPI 0x8085F70
InitPrepScreenUnitList 0x808E32C
addPrepMenuEntry 0x808FEC0
CanUnitPrepScreenUse 0x80912EC
SramInit 0x809E404
ComputeChecksum16 0x809E4C4
SaveMetadata_Save 0x809E7A0
SGM_SetCharacterKnown 0x809EECC
GGM_IsAnyCharacterKnown 0x809EF58
GetGameTotalTurnCount 0x809FC5C
BWL_IncrementDeployCountMaybe 0x809FFEC
IsPlaythroughIdUnique 0x80A031C
GGM_RegisterCompletedPlaythrough 0x80A03C8
BWL_GetEntry 0x80A0550
GetLastUsedGameSaveSlot 0x80A05F4
ClearSaveBlock 0x80A10D8
Get6CDifferedLoop6C 0x80A92F8
Find6CDifferedLoop 0x80A9338
GetChapterSurvivalRank 0x80B6734
GetChapterDeathCount 0x80B67F0
GetChapterFundsRank 0x80B6848
GetChapterCombatRank 0x80B6960
GetChapterExpRank 0x80B6994
SoundMain 0x80BD860
RealClearChain 0x80BDCA0
ply_fine 0x80BDCC0
MPlayJumpTableCopy 0x80BDCF0
ldrb_r3_r2 0x80BDD08
chk_adr_r2 0x80BDD0A
ld_r3_tp_adr_i 0x80BDD24
ply_goto 0x80BDD30
ply_patt 0x80BDD50
ply_pend 0x80BDD6C
ply_rept 0x80BDD80
ply_modt 0x80BDE70
ply_port 0x80BDE9C
m4aSoundVSync 0x80BDEB4
MPlayMain 0x80BDF00
TrackStop 0x80BE168
ChnVolSetAsm 0x80BE1AC
ply_note_rev01 0x80BE1DC
ply_endtie_rev01 0x80BE3DC
clear_modM 0x80BE41C
ply_lfos_rev01 0x80BE444
ply_mod_rev01 0x80BE458
MidiKey2fr 0x80BE46C
MPlayContinue 0x80BE4D4
SoundStuff_80D0158 0x80BE4F0
m4aSoundInit 0x80BE510
m4aSongNumStop 0x80BE660
m4aSongNumStartOrContinue 0x80BE694
m4aMPlayAllStop 0x80BE6C8
m4aMPlayAllContinue 0x80BE700
m4aMPlayFadeOutTemporarily 0x80BE73C
m4aMPlayFadeIn 0x80BE75C
m4aMPlayImmInit 0x80BE784
MPlayExtender 0x80BE7CC
SoundInit 0x80BE910
m4aSoundVSyncOff 0x80BEB98
m4aSoundVSyncOn 0x80BEC14
MPlayOpen 0x80BEC50
MPlayStart 0x80BECC8
m4aMPlayStop 0x80BEDAC
FadeOutBody 0x80BEDEC
TrkVolPitSet 0x80BEEB4
MidiKeyToCgbFreq 0x80BEF68
CgbOscOff 0x80BF010
m4aMPlayVolumeControl 0x80BF53C
WriteSramFast 0x80BFAB4
VerifySramFast_Core 0x80BFAF4
WriteAndVerifySramFast 0x80BFBD8
llsl_thumb 0x80BFC18
.gcc2_compiled._28 0x80BFDF0
memcpy 0x80BFF98
strcpy 0x80C00C8
BgTileMap_FillRect 0x80C57BC
BgTileMap_CopyRect 0x80C57CC
SortPlayerUnitsForPrepScreen 0x808E1B0
SoundMainRAM 0x80BD8E4
FillAiDangerMap 0x80393E8
Loop6CUI2 0x80859E0
AiFindClosestTileInRangeWithListedTerrain 0x8035E44
CanUnitUseVisit 0x8031270
GetTriggeredTrapType 0x80343BC
SomethingPrepListRelated 0x8091138
loadMagfcastBG 0x8062C94
DialogueMain_UpdateDisplay 0x800838C
TryAddTrapsToTargetList 0x8023B60
InBattleMainRoutine 0x804B284
StartBattleAnimResireHitEffects 0x80502EC
ReorderPlayerUnitsBasedOnDeployment 0x808E140
ApplyTrapMapChanges 0x802BC40
HandleTrapDecay 0x802C24C
PrepareArenaStruct 0x802E9A0
DrawUnitScreenSupportList 0x8080270
SMS_80266F0 0x8024D60
CanUnitSupportCommandWith 0x8026778
ekrBattle_8050600 0x804B968
ekrBattleStarting_8055F00 0x8050CDC
Loop6CUI1_DisplayTransition 0x8084858
StartFace 0x8006C34
GetWRankBarData 0x8016A38
MineFireTrap_8037540 0x8034314
UpdateNumberOfAlliedUnitsWithin8Tiles 0x80372AC
AtMenu_AutoDeployPrepScreenUnits 0x808E3E0
BWL_AddFavoritismValue 0x80A0248
GetUnitRangeMask 0x8016EBC
MapAddInRange 0x801A2D4
ForEachUnitInRange 0x8023944
EfxWeaponIcon_OnLoop 0x804FAD4
IsCharDeadAsNonPlayerUnit 0x8079D40
IsCharDeadAsNonPlayerUnit 0x807A000
DrawHammerneUnitInfoWindow 0x8031CBC
AiBattleGetDamageDealtWeight 0x8039010
AiBattleGetDamageTakenWeight 0x8039184
ekrBattle_8050000 0x804B43C
EkrBattle_BattleQuoteInit 0x804B490
SoundClear 0x80BEB44
PrintDebugStringAsOBJ 0x800530C
HideAllUnits 0x807A834
PopupProc_WaitForPress 0x800AC8C
NewMoveUnitForUnitBeingRescued 0x801D404
HandleNewItemGetFromDrop 0x801D8B0
TryAddUnitToHammerneTargetList 0x8024970
TradeMenu_RefreshItemText 0x802ADA0
AiGetLootingParameters 0x80369F4
AiUpdateAllUnitHealAi 0x8039704
ekrBattle_8050684 0x804B9EC
EkrWindowAppear_Loop 0x8051B00
Loop6C_efxSoundSE 0x8067628
StartEkrPegasusKnightBG 0x806A7D4
BWL_IncrementMoveValue 0x809FF6C
BWL_IncrementStatScreenViews 0x809FFAC
BWL_AddTilesMoved 0x80A003C
BWL_AddExpGained 0x80A009C
CopyNoCompData 0x80130F4
CanUnitUseStaff 0x8016428
DrawTextAndIconForItem 0x80165DC
RescueUsability 0x80217B0
DropUsability 0x802181C
TryAddRescuedUnitToTakeTargetList 0x8023EF8
ClearUnitSupports 0x8026844
MakeSnagBattleTarget 0x802A254
BKSEL_Draw 0x8033AD4
CpPerform_LootWait 0x8035398
AiScriptCmd_12_MoveTowardsEnemy 0x8037F0C
AiScriptCmd_13 0x8037F8C
ComputeAiAttackWeight 0x8039240
StartEfxAvoid 0x804DC04
ekrBattleStarting_8055FA0 0x8050D7C
StartSubSpell_efxElfireBG 0x8058744
Loop6CUI1_Hidden 0x80857DC
FadeOut_Loop 0x80AA1D0
BgTileMap_ApplyTSA 0x80C57B4
AiTryDoDanceAdjacent 0x8039DD8
ForEveryProc 0x800476C
ForEach6CMarked 0x80047BC
ForProcFamily 0x8004898
HiObjProcess 0x8006A64
ShouldMoveCameraPosSomething 0x8015D70
ApplyUnitMovement 0x8017F28
InitMapChangeGraphics 0x8019584
StaffItemSelect_Usability 0x8022A44
TryAddUnitToHealTargetList 0x8024538
TryAddUnitToBarrierTargetList 0x8024690
TradeMenu_InitTextHandles 0x802AD6C
UnlockGameGraphicsLogic 0x802D3E8
ShrinkConvoyItemList 0x802E72C
LoadArenaWeapons 0x802ED74
BATTLE_ProbablyMakesTheDeadUnitDissapear 0x802F8BC
AiMasterDecisionMaker 0x8034EDC
AiScriptCmd_08_DoStandardActionAgainstClass 0x8037BD8
SioMenu_8047CF0 0x8042690
Menu_CallDefinedConstructors 0x804A4A8
GameLoop_Battle 0x804B328
ekrBattle_8050A84 0x804BDAC
EfxWeaponIcon_OnEnd 0x804FB3C
StartEfxThunderBG 0x8058120
StartSubSpell_efxFireHITBG 0x805865C
loadFimbulvetrBGTR 0x8058AC4
DrawStatScreenBar 0x807FD28
GetUnitsTotalHeldGoldValue 0x80170A0
ProcInst14_WhileRoutine 0x8004944
ProcInst08_BlockUntilRunning 0x80049F4
LoadIconObjectGraphics 0x8004E98
StartHiObjProc 0x8006ABC
DialoguePauseTimer_OnLoop 0x800920C
AP_SetDefinition 0x8012290
EventB3_ 0x8011498
PopupProc_PlaySound 0x800AAD8
Timer_Countdown 0x80144B0
FutureCall2_Loop 0x8014AE8
MapMain_UpdateTraps 0x8015458
InitUnitSupports 0x80179F0
IsPositionMagicSealed 0x801871C
MapFillMovement 0x8019D00
PlayerPhase_BackToMove 0x801C9BC
MaybeRunPostActionEvents 0x801CC4C
DisplayMoveRangeGraphics 0x801D2A0
PlayerPhase_HandleAutoEnd 0x801D3AC
DisplayUnitStandingAttackRange 0x8021B34
ItemCommandEffect 0x802219C
MakeTradeTargetList 0x8023D64
TradeMenu_802DAFC 0x802B40C
CpPerform_StealWait 0x80357B8
AiScriptCmd_19_MoveTowardsTerrain 0x80383E0
AiScriptCmd_1A_MoveTowardsTerrain 0x803845C
ekrBattle_8050304 0x804B6FC
ekrBattle_CheckForLevelup_8050C34 0x804BF14
ekrBattleStarting_8056024 0x8050E00
StartEkrNamewinAppear 0x8051B80
loadBaseAppear 0x8051C80
loadFireOBJ 0x8058588
StartSubSpell_efxElfireOBJ 0x805889C
IsThereClosedDoorAt 0x8078F24
MaybeCallEndEvent 0x80791D0
EvCheck0E_ 0x807870C
NewChapterStatusScreen 0x8087190
GetGlobalCompletionCount 0x80A03A8
GetLastSuspendSaveId 0x80A1918
GetChapterTacticsRank 0x80B66B4
m4aSoundMode 0x80BEAAC
ReadSramFast_Core 0x80BFA74
GetUnitUseFlags 0x80185AC
AiGetUnitReachWeightWithEquippedWeapon 0x80392B4
EkrTriangle_OnLoop 0x806A4E0
SetupDebugFontForBG 0x8004EF8
MoveHiObjProc 0x8006B00
GenSomeLongPopupText 0x800A918
FutureCall_Loop 0x8014B0C
OnVBlankMain 0x801524C
OnGameLoopMain 0x801529C
EnsureCameraOntoPosition 0x8015CE0
UpdateGameTileGfx 0x80193E0
Destruct6CBMXFADE 0x801D5EC
BMXFADEExists 0x801D634
ForceMenuItemPanel 0x801DEFC
FillBallistaRangeMaybe 0x80241AC
SomethingSMS_16x16 0x8024F4C
GetUnitTotalSupportLevels 0x80266B8
TradeMenu_802DAAC 0x802B3BC
ExecFortify 0x802C81C
LoadPlayerUnitsFromUnitStack 0x802E920
GetNearLevel 0x802EBFC
KillUnitIfNoHealth 0x802F838
CanActiveUnitUseRescue 0x80313CC
CanActiveUnitUseTrade 0x80313E8
NewUnitInfoWindow_WithAllLines 0x8031A74
MineFireTrap_DoSomeBWLStuffWhenKill 0x80342C8
CpPhase_Init 0x80348E0
BskPhase_Init 0x803494C
CpOrder_BuildUnitList 0x8034A8C
CpPerform_UpdateMapMusic 0x803510C
CpPerform_BeginUnitMovement 0x80351C4
CpPerform_TalkWait 0x8035490
CpPerform_WaitAction 0x8035714
GetLesserWeightedAdjacentPosition 0x8036810
SetupAiDangerMap 0x80393BC
SioCon_8042E2C 0x803D9A8
SioPlaySomeIndexedSfx 0x803DD98
NameSelect_8044FFC 0x803F950
NameSelect_8045068 0x803F9BC
SetMoveUnitMoveManual_Unique 0x8047B14
Menu_GetCursorGfxCurrentPosition 0x804A8B0
StartTargetSelection 0x804AE88
StartEkrBattle 0x804B218
ekrBattle_8050134 0x804B570
ekrBattle_WaitForTriangleAttackAnim 0x804B730
ekrBattle_WaitForClassChange 0x804B82C
ekrBattle_WaitForLevelup_8050C6C 0x804BF4C
ekrBattle_WaitForPopup 0x804BF88
ekrBattle_8050DA8 0x804C078
StartEfxStatusCHG 0x804DFD0
EndEfxWeaponIcon 0x804FA98
MainUpdate_8055C68 0x8050A38
ekrBattleStarting_8056078 0x8050E54
StartEkrWindowAppear 0x8051A9C
PlayBattleCroudSfxIfArena 0x8055544
RunBattleForecastTutorialEvent 0x805555C
loadFimbulvetrOBJ2Fall 0x8058DA0
DeleteAnimsOnPopup 0x806B07C
BattlePopup_Wait16Frames 0x806B550
ekrPopup_MarkEnd 0x806B6F0
DrawUnitWeaponRank 0x8080360
Loop26CPI 0x80861C8
Loop46CPI 0x8086210
AtMenu_LockGame 0x808EE98
NullifyBattleDamageIfUsingStone 0x808FA68
UpdateNextSuspendSaveId 0x80A1948
savemenu_SetDifficultyChoice 0x80A4E34
_AP_RegisterGraphics 0x8012028
GetConvoyTotalGoldValue 0x801704C
UnitHasItem 0x80176F8
IsAnyEnemyUnitAlive 0x8079F7C
ProcInterpretCode 0x8004B84
CanUnitUseWeapon 0x8016380
ForEachPosInRange 0x8023A1C
CheckSomethingSaveRelated 0x8042428
GetDeadUnitAmount 0x80B6798
__modsi3 0x80BFD20
strlen 0x80C0114
GetUnitEquippedItem 0x8016764
GetUnitEquippedItemSlot 0x8016794
RefreshTrapFogVision 0x8019A3C
GetSupportDataIdForOtherUnit 0x802680C
BattleLoadDefense 0x8028A98
__umodsi3 0x80BFED8
DeleteEach6CDifferedLoop 0x80A931C
__divsi3 0x80BFC88
EndEachProcMarked 0x8004834
GetIconTileIndex 0x8004DBC
MakeTargetListForDoorAndBridges 0x8024298
CanUseChestKey 0x8027354
BattleLoadAS 0x8028B68
BattleApplySRankBonuses 0x8028E78
AiTryDoStealAdjacent 0x8039EFC
loadFimbulvetrBG 0x8058BAC
loadResireBG 0x8059A28
GetGameTotalTurnCount2 0x809FCF0
SampleFreqSet 0x80BEA08
CopyTileGfxForObj 0x8013238
ProcInst0F_Mark 0x8004AC4
StoreNumberStringToSmallBuffer 0x8005044
DrawSpecialUiDecNumber 0x8006198
_HiObjProc_Loop 0x8006A94
StartDialogueParentless 0x800805C
Dialogue_SetDefaultTextColor 0x80080F4
SetNextChapterId 0x8012B5C
Popup_CreateExt 0x800AD5C
RegisterObjectTileGraphics 0x801320C
GetSomethingInPaletteBB_2A 0x8013664
StartPaletteAnimator_ 0x8014740
GetItemRange 0x80173A0
GetItemEffectivenessPtr 0x80173D0
UnitRescue 0x8017DE4
GetUnitSkill 0x8018AF0
GetUnitSpeed 0x8018B30
GenericStaffSelection_OnSelect 0x8027680
AddTrapExt 0x802BAF4
CpPhase_Cleanup 0x80349AC
AiScriptCmd_1B_NoOp 0x80384D8
ekrBattle_8050158 0x804B594
ekrBattle_80505EC 0x804B954
PauseEfxWeaponIcon 0x804FAB4
SpellFx_Begin 0x804FFF0
getSpecialAnimationEffectInfo 0x8064A6C
setSpecialAnimationEffectInfoState 0x8064A98
GetSpellAssocStructPtr 0x806B9B8
IsThereClosedChestAt 0x8078EE0
CheckEventId 0x80798F8
UpdateLastUsedGameSaveSlot 0x80A05D4
SaveMetadata_VerifyChecksum 0x80A1998
GetChapterSurvivalRank 0x80B63EC
SoundMainBTM 0x80BDC88
ply_tempo 0x80BDDBC
ply_voice 0x80BDDE4
ply_xwave 0x80BF914
_div 0x80BFE60
memset 0x80BFFF8
ClearOAMBuffer 0x80C57AC
ComputeChecksum32 0x80C57D4
GetChapterAllyUnitCount 0x800F0AC
AddTrap 0x802BACC
Text_DrawGlyphManual 0x8006084
GetPartyTotalGoldValue 0x8017120
ClearMapWith 0x80190AC
SomethingSMS_16x16_0 0x8024EB8
SomethingSMS_16x32 0x8025028
SomethingSMS_32x32 0x8025118
InitBattleUnitFromUnit 0x80285D4
BattleLoadCrit 0x8028D00
TryRemoveUnitFromBallista 0x80347A8
SMS_SyncDirect 0x8025518
ARM_PushToHiOAM(ARM) 0x8000494
ARM_PushToLoOAM(ARM) 0x8000534
GetPositionRangeWeight 0x8035F48
GetEffectiveTileMovCost 0x8038BEC
ARM_FillRect(ARM) 0x80003A8
ProcInst00_End 0x80048DC
ProcInst02_CallRoutine 0x80048F8
ProcInst16_CallRoutine2 0x800490C
ProcInst05_AddChild 0x800499C
ProcInst06_AddBlockingChild 0x80049B8
ProcInst07_BuggedAddGlobal 0x80049D4
ProcInst09_EndAllOf 0x8004A1C
ProcInst0A_BreakLoopForAll 0x8004A38
ProcInst0C_GotoLabel 0x8004A70
PrintDebugNumberDec 0x8005358
PrintDebugNumberHex 0x800537C
FACE_Load 0x8006B9C
StartDialogueFromIndex 0x800801C
NewGameControl 0x8012B00
Event20_ 0x800BE20
PopupIconUpdaterLoop 0x800AB1C
ItemGot_DisplayLePopup 0x800EF9C
ItemGot_GotLeItem 0x800EFB0
StartFadeInBlack 0x8013F00
StartFadeOutBlack 0x8013F1C
StartBlockingFadeInBlack 0x8013F50
StartBlockingFadeOutBlack 0x8013F38
StartBlockingFadeInWhite 0x8013F68
StartBlockingFadeOutWhite 0x8013F80
StartBlockingFadeInBlackSlow 0x8014010
SomeDrawTextCentered 0x8014634
StartPaletteAnimator 0x80146EC
SetupFutureCall 0x8014B50
MapMain_StartPlayerPhaseAndApplyAction 0x8015434
UpdatePlayMapMusic 0x8015F84
GetItemData 0x80174AC
UnitGive 0x8017E5C
GetUnitLastItem 0x80187BC
DebugMenu_ErasedEffect 0x801B8BC
PlayerPhase_CancelAction 0x801C9A4
PlayerPhase_DisplayUnitMovement 0x801CF70
Make6CKOIDOAMM 0x801D4D0
MenuCommand_DrawExtraItem 0x801D95C
SendToConvoyMenu_NormalEffect 0x801D9A0
EndMenuItemPanel 0x801E2CC
StartUnitSwapAnimation 0x801E480
MineFireEffectGfx_Setup 0x801ED34
NewMineTrapEffectGfx 0x801EDC0
BgMoverProc_Update 0x801F2C4
BeginLightRuneMapAnim 0x802061C
BeginMineMapAnim 0x80212F8
MapMenuCommand_UnitEffect 0x8021594
MapMenuCommand_DangerZoneUnusedEffect 0x80215D4
GenericSelection_BackToUM 0x8021654
GenericSelection_BackToUM_CamWait 0x8021738
RescueEffect 0x80217E8
DropEffect 0x8021854
DropSelection_OnSelect 0x8021874
TakeEffect 0x80218E0
GiveEffect 0x8021948
MakeUnitRescueTransferGraphics 0x8021968
ItemSelectMenu_Effect 0x80222DC
FillBallistaRange 0x8022884
StaffItemSelect_Effect 0x8022A7C
StaffItemSelect_OnHover 0x8022AC8
RescueSelection_OnChange 0x80232CC
RideCommandEffect 0x80234F4
ForEachPosIn12Range 0x8023ADC
ForEachUnitInMagBy2Range 0x8023B10
MakeRescueTargetList 0x8023E38
MakeDropTargetList 0x8023EC4
MakeTakeTargetList 0x8023F64
MakeTargetListForUnlock 0x802493C
WarpTargetPosSelect_Confirm 0x802790C
WarpTargetPosSelect_Cancel 0x8027948
WarpTargetPosSelect_Destruct 0x802797C
WarpTargetSelection_OnSelect 0x8027990
HammerneTargetSelection_OnChange 0x8027B3C
GenericSelection_DeleteBBAndBG 0x8027E58
BATTLE_SyncMapFromBattle 0x8028380
UpdateActiveUnitFromBattle 0x802A5B4
FinishUp10ExpBattle 0x802A5D0
TradeMenu_InitGraphics 0x802B094
TradeMenu_802DB48 0x802B458
AddGasTrap 0x802BB40
AddArrowTrap 0x802BB60
AddMapChange 0x802BDD4
ExecStandardHeal 0x802C324
ExecRescueStaff 0x802C654
ExecWarpStaff 0x802C708
ExecUnlock 0x802C894
ExecHammerne 0x802C8D4
ExecSomeSelfHeal 0x802C994
ExecItemMine 0x802CEC8
ExecTorchStaff 0x802CF4C
ResetGameState 0x802DFFC
StartMapMain 0x802E37C
ActionRescue 0x802F328
ActionVisitAndSieze 0x802F434
ActionArena 0x802F4B0
ActionDance 0x802F4C4
ActionTalk 0x802F514
SpriteJumpAnimation_Cleanup 0x802F744
BATTLE_HandleUnitDeaths 0x802F960
GetUnitCommandUseFlags 0x8031404
NewUnitInfoWindow 0x803168C
SetupUnitRescueWindow 0x8032064
ExecTrapForActionTarget 0x8034578
ExecTrap_QuietMaybe 0x80345DC
AddBallista 0x8034740
CpOrder_Main 0x80349BC
CpPerform_StaffWait 0x8035420
CpPerform_ChestWait 0x8035458
CpPerform_ExitBallistaWait 0x80354FC
AiScriptCmd_01_FunctionCall 0x80377E8
IsUnitEnemyOrInTheAiInstList 0x80379A0
AiScriptCmd_16 0x803801C
InitAiRangeMoveMapForUnitWithDoorsPassable 0x803BFC0
SioCon_8042E0C 0x803D988
NameSelect_8044FE4 0x803F938
NameSelect_804503C 0x803F990
StartNameSelect 0x8042C38
EndEkrBattleDeamon 0x804B1D8
EkrBattleDeamon_OnEnd 0x804B200
NewEkrLvlupFan 0x804C0B4
EkrGauge_80511F8 0x804C4C4
StartEfxDeadPika 0x804E2E8
EndEfxHPBarColorChange 0x804F46C
ResumeEfxWeaponIcon 0x804FAC4
ekrBattleEnding_8056228 0x8050FF4
ekrBattleEnding_8056484 0x805125C
EkrChienCHR_OnLoop 0x8053F64
StartEkrAnimeDrvProc 0x8054E88
EndEkrAnimeDrvProc 0x8054EA8
StartEkrUnitMainMini 0x8054EC8
