_start 0x8000000
SetUnitHP 0x8019368
UnitTryHeal 0x80193A4
CanUnitCrossTerrain 0x801949C
SetupMapRowPointers 0x80197A4
LoadChapterMapGfx 0x801990C
SyncTilesFromMapBuffer 0x80199A4
RefreshTerrainMap 0x8019A64
RefreshEntityMaps 0x801A1F4
SetMovCostTable 0x801A4CC
MapMovementMarkMovementEdges 0x801A8E4
MapMarkMovementEdges 0x801A9D0
MapSetInRange 0x801ABC0
MapSetInMagicSealedRange 0x801B950
StartupDebugMenu_InitializeFileEffect 0x801C370
DisplayUnitEffectRange 0x801CB70
CanMoveActiveUnitTo 0x801D5A8
PlayerPhase_ResumeRangeDisplay 0x801D668
Loop6C_MLVCHC 0x801D8EC
GetEnemyStartCursorPosition 0x801DE88
ADJUSTFROMXI_MoveCameraOnSomeUnit 0x801DF64
GasTrapEffectGfx_Setup 0x801F540
ItemSelectMenu_Usability 0x80233D8
StealCommandUsability 0x802418C
StealItemMenuCommand_Usability 0x8024304
AttackCommandUsability 0x80249AC
ForEachUnitInRange 0x8024EAC
TryAddToDropTargetList 0x80253E8
SMS_Init 0x8026688
SMS_RegisterUsage 0x80267FC
SMS_SyncIndirect 0x8026F94
GetUnitBattleMapSpritePaletteIndex 0x802713C
SMS_GetNewInfoStruct 0x802736C
DisplayChapterTileMarker 0x8027530
CanUseHealingItem 0x802907C
CanUseLockpick 0x8029160
SimulateBattle 0x802A318
ComputeLethalityChance 0x802ACF8
GetStatIncrease 0x802B9A0
GetAutoleveledStat 0x802B9C4
SaveUnitsFromBattle 0x802C028
BattleUnit_DidWRankGoUp 0x802C1B0
UpdateUnitFromBattleUnit 0x802C1EC
SetupBattleUnitEquippedWeapon 0x802C6EC
ResetTraps 0x802E1C8
AddSnagsAndWalls 0x802E3A8
GetMapChangesPointerById 0x802E4F4
GetMapChangesIdAt 0x802E530
ApplyMapChangesById 0x802E58C
RemoveMapChange 0x802E60C
UpdateUnitsUnderRoof 0x802E690
AddArrowTrapTargetsToTargetList 0x802E710
MakeTargetListForTurnTrapDamage 0x802E83C
ExecLatona 0x802F30C
LockGameGraphicsLogic 0x8030184
AddItemToConvoy 0x8031594
LoadPlayerUnitsFromUnitStack2 0x8031754
GetUnitBestWRankType 0x80318B4
GetClassBestWRankType 0x80318E0
PrepareBalancedArenaFight 0x8031C10
ActionSupport 0x80323D4
DropRescuedUnitIfDead 0x8032674
CanUnitUseAttack 0x8034428
GetChapterMapChangesPointer 0x8034684
StartBottomHelpText 0x8035708
AddWeaponStatsAfterRound 0x803666C
StartBattleForecast 0x803730C
MineFireTrap_80375A0 0x80375A0
GetNonEmptyBallistaAt 0x803795C
GetUnitAiAttackPriority 0x8039898
SortAiUnitQueue 0x8039A50
CpPerform_PerformCombat 0x803A07C
AiFindPositionOfCharacter 0x803A788
AiFindClosestPositionWithUnitOfClass 0x803A878
CouldStationaryUnitBeInRangeHeuristic 0x803AC3C
CouldUnitBeInRangeHeuristic 0x803AC90
FillMovementAndRangeMapForItem 0x803B558
GetItemAiStealPriority 0x803B794
AiIsCharacterOnMap 0x803BF84
AiIsPositionLootable 0x803C014
SetupUnitStatusStaffAIFlags 0x803C120
SetupUnitHealStaffAIFlags 0x803C168
AiScript_Exec 0x803C5DC
AiScriptCmd_02_ChangeAi 0x803C71C
IsUnitEnemyWithActiveUnit 0x803C818
AiScriptCmd_04_ActionOnSelectedCharacter 0x803C974
AiScriptCmd_05_DoStandardAction 0x803CA0C
AiScriptCmd_0D_MoveTowardsCharacterUntilInRange 0x803CBD4
AiScriptCmd_0F_MoveTowardsUnitWithClass 0x803CC98
AiScriptCmd_10_DoLooting 0x803CCDC
AiScriptCmd_11_MoveTowardsSafety 0x803CDD4
AiDoBerserkAction 0x803D3E4
AiDoBerserkMove 0x803D404
AiTrySimulateBattle 0x803DCC4
AiGetPositionUnitSafetyWeight 0x803E27C
AiUnitTryMoveTowardsEscapePoint 0x803E7D0
AiGetStaffAiIndex 0x803F9D8
GetAiSafestAccessibleAdjacentPosition 0x803FAE8
AiSetMovCostTableWithPassableWalls 0x8040DCC
AiSetMovCostTableWithTerrainSetAsPassable 0x8040E04
NameSelect_DrawNameText 0x8044700
SioMenu_8047AF4 0x8047AF4
SioMenu_80480B4 0x80480B4
ITEMRANGEDONE_sub_804AF2C 0x804AF2C
StartMenuAdjusted 0x804EB98
LinkTargets 0x804F910
TargetSelection_HandleSelectInput 0x804FB64
GetFarthestTargetIndex 0x804FBFC
LinkTargetsOrdered 0x804FC5C
GetFirstTargetPointer 0x804FD10
ekrBattle_8050244 0x8050244
StartEfxQuake 0x8053730
StartEfxSpellCast 0x8054FA8
SpellFx_WriteBgMap 0x8055670
BeginAnimsOnBattleAnimations 0x8055BD4
loadUnitKakudai 0x8056900
IsItemDisplayedInBattle 0x8058A8C
initBothAIS 0x8059D28
EfxThunderBG_Main 0x805D938
StartEfxDamageMojiEffectOBJ 0x806C67C
FillBGRect 0x8070D7C
ApplyFlashingPaletteAnimation 0x807132C
FireDragonBGAnimation14 0x80768A0
GetDeadEnemyAmount 0x8084F1C
DrawStatScreenPage 0x80878CC
StartStatScreenHelpTextBubble 0x80889A0
Loop6CUI1_HideTransition 0x808BE70
Loop16CPI 0x808D47C
InitPrepScreenUnitList 0x80958BC
addPrepMenuEntry 0x8097024
CanUnitPrepScreenUse 0x809839C
SramInit 0x80A2C3C
ComputeChecksum16 0x80A2CFC
SaveMetadata_Save 0x80A2F94
SGM_SetCharacterKnown 0x80A37A8
GGM_IsAnyCharacterKnown 0x80A3834
GetGameTotalTurnCount 0x80A43D8
BWL_IncrementDeployCountMaybe 0x80A47CC
IsPlaythroughIdUnique 0x80A4B1C
GGM_RegisterCompletedPlaythrough 0x80A4BD0
BWL_GetEntry 0x80A4CFC
GetLastUsedGameSaveSlot 0x80A4DA0
ClearSaveBlock 0x80A5A20
Get6CDifferedLoop6C 0x80AD2F8
Find6CDifferedLoop 0x80AD338
GetChapterSurvivalRank 0x80B61C4
GetChapterDeathCount 0x80B6284
GetChapterFundsRank 0x80B62DC
GetChapterCombatRank 0x80B63F0
GetChapterExpRank 0x80B6424
SoundMain 0x80CF4C8
RealClearChain 0x80CF908
ply_fine 0x80CF928
MPlayJumpTableCopy 0x80CF958
ldrb_r3_r2 0x80CF970
chk_adr_r2 0x80CF972
ld_r3_tp_adr_i 0x80CF98C
ply_goto 0x80CF998
ply_patt 0x80CF9B8
ply_pend 0x80CF9D4
ply_rept 0x80CF9E8
ply_modt 0x80CFAD8
ply_port 0x80CFB04
m4aSoundVSync 0x80CFB1C
MPlayMain 0x80CFB68
TrackStop 0x80CFDD0
ChnVolSetAsm 0x80CFE14
ply_note_rev01 0x80CFE44
ply_endtie_rev01 0x80D0044
clear_modM 0x80D0084
ply_lfos_rev01 0x80D00AC
ply_mod_rev01 0x80D00C0
MidiKey2fr 0x80D00D4
MPlayContinue 0x80D013C
SoundStuff_80D0158 0x80D0158
m4aSoundInit 0x80D0178
m4aSongNumStop 0x80D02C8
m4aSongNumStartOrContinue 0x80D02FC
m4aMPlayAllStop 0x80D0330
m4aMPlayAllContinue 0x80D0368
m4aMPlayFadeOutTemporarily 0x80D03A4
m4aMPlayFadeIn 0x80D03C4
m4aMPlayImmInit 0x80D03EC
MPlayExtender 0x80D0434
SoundInit 0x80D0578
m4aSoundVSyncOff 0x80D0800
m4aSoundVSyncOn 0x80D087C
MPlayOpen 0x80D08B8
MPlayStart 0x80D0930
m4aMPlayStop 0x80D0A14
FadeOutBody 0x80D0A54
TrkVolPitSet 0x80D0B1C
MidiKeyToCgbFreq 0x80D0BD0
CgbOscOff 0x80D0C78
m4aMPlayVolumeControl 0x80D11A4
WriteSramFast 0x80D1724
VerifySramFast_Core 0x80D1764
WriteAndVerifySramFast 0x80D184C
llsl_thumb 0x80D188C
.gcc2_compiled._28 0x80D1A64
memcpy 0x80D1C0C
strcpy 0x80D1D3C
BgTileMap_FillRect 0x80D74A8
BgTileMap_CopyRect 0x80D74B8
SortPlayerUnitsForPrepScreen 0x8095748
SoundMainRAM 0x80CF54C
FillAiDangerMap 0x803E320
Loop6CUI2 0x808CEC8
AiFindClosestTileInRangeWithListedTerrain 0x803AD38
CanUnitUseVisit 0x8034314
GetTriggeredTrapType 0x80375E8
SomethingPrepListRelated 0x80981E4
loadMagfcastBG 0x806D1B4
DialogueMain_UpdateDisplay 0x8006DA0
TryAddTrapsToTargetList 0x80250BC
InBattleMainRoutine 0x804FE40
StartBattleAnimResireHitEffects 0x8055424
ReorderPlayerUnitsBasedOnDeployment 0x80956D8
ApplyTrapMapChanges 0x802E430
HandleTrapDecay 0x802EAC0
PrepareArenaStruct 0x8031794
DrawUnitScreenSupportList 0x8087698
SMS_80266F0 0x80266F0
CanUnitSupportCommandWith 0x8028310
ekrBattle_8050600 0x8050600
ekrBattleStarting_8055F00 0x8055F00
Loop6CUI1_DisplayTransition 0x808BCF8
StartFace 0x800563C
GetWRankBarData 0x8016E50
MineFireTrap_8037540 0x8037540
UpdateNumberOfAlliedUnitsWithin8Tiles 0x803C1B4
AtMenu_AutoDeployPrepScreenUnits 0x80959B4
BWL_AddFavoritismValue 0x80A4A34
GetUnitRangeMask 0x80171E8
MapAddInRange 0x801AABC
ForEachUnitInRange 0x8024E40
EfxWeaponIcon_OnLoop 0x8054F10
IsCharDeadAsNonPlayerUnit 0x8084CAC
IsCharDeadAsNonPlayerUnit 0x8084F6C
DrawHammerneUnitInfoWindow 0x8034E5C
AiBattleGetDamageDealtWeight 0x803DF34
AiBattleGetDamageTakenWeight 0x803E0B4
ekrBattle_8050000 0x8050000
EkrBattle_BattleQuoteInit 0x8050054
SoundClear 0x80D07AC
PrintDebugStringAsOBJ 0x8003BB0
HideAllUnits 0x800BC1C
PopupProc_WaitForPress 0x80113C0
NewMoveUnitForUnitBeingRescued 0x801DC00
HandleNewItemGetFromDrop 0x801E098
TryAddUnitToHammerneTargetList 0x80262FC
TradeMenu_RefreshItemText 0x802D4A8
AiGetLootingParameters 0x803B8FC
AiUpdateAllUnitHealAi 0x803E640
ekrBattle_8050684 0x8050684
EkrWindowAppear_Loop 0x8056D90
Loop6C_efxSoundSE 0x80719F0
StartEkrPegasusKnightBG 0x807527C
BWL_IncrementMoveValue 0x80A474C
BWL_IncrementStatScreenViews 0x80A478C
BWL_AddTilesMoved 0x80A481C
BWL_AddExpGained 0x80A487C
CopyNoCompData 0x8012EDC
CanUnitUseStaff 0x8016800
DrawTextAndIconForItem 0x80169A8
RescueUsability 0x80228A4
DropUsability 0x8022910
TryAddRescuedUnitToTakeTargetList 0x8025474
ClearUnitSupports 0x80283E0
MakeSnagBattleTarget 0x802C8C4
BKSEL_Draw 0x8036CD0
CpPerform_LootWait 0x803A17C
AiScriptCmd_12_MoveTowardsEnemy 0x803CE18
AiScriptCmd_13 0x803CE98
ComputeAiAttackWeight 0x803E178
StartEfxAvoid 0x8052978
ekrBattleStarting_8055FA0 0x8055FA0
StartSubSpell_efxElfireBG 0x805DED8
Loop6CUI1_Hidden 0x808CCC8
FadeOut_Loop 0x80AE200
BgTileMap_ApplyTSA 0x80D74A0
AiTryDoDanceAdjacent 0x803ED28
ForEveryProc 0x8002F70
ForEach6CMarked 0x8002FC0
ForProcFamily 0x80030A4
HiObjProcess 0x8005458
ShouldMoveCameraPosSomething 0x8015E9C
ApplyUnitMovement 0x801849C
InitMapChangeGraphics 0x8019CBC
StaffItemSelect_Usability 0x8023B90
TryAddUnitToHealTargetList 0x8025E28
TryAddUnitToBarrierTargetList 0x802601C
TradeMenu_InitTextHandles 0x802D474
UnlockGameGraphicsLogic 0x80301B8
ShrinkConvoyItemList 0x803152C
LoadArenaWeapons 0x8031B70
BATTLE_ProbablyMakesTheDeadUnitDissapear 0x80327C8
AiMasterDecisionMaker 0x8039CAC
AiScriptCmd_08_DoStandardActionAgainstClass 0x803CAE4
SioMenu_8047CF0 0x8047CF0
Menu_CallDefinedConstructors 0x804EF38
GameLoop_Battle 0x804FEE4
ekrBattle_8050A84 0x8050A84
EfxWeaponIcon_OnEnd 0x8054F78
StartEfxThunderBG 0x805D8B4
StartSubSpell_efxFireHITBG 0x805DDF0
loadFimbulvetrBGTR 0x805E230
DrawStatScreenBar 0x80870BC
GetUnitsTotalHeldGoldValue 0x80173D0
ProcInst14_WhileRoutine 0x8003150
ProcInst08_BlockUntilRunning 0x8003200
LoadIconObjectGraphics 0x800372C
StartHiObjProc 0x80054B0
DialoguePauseTimer_OnLoop 0x8007C28
AP_SetDefinition 0x8009548
EventB3_ 0x800C938
PopupProc_PlaySound 0x8011210
Timer_Countdown 0x8014254
FutureCall2_Loop 0x801487C
MapMain_UpdateTraps 0x80154C8
InitUnitSupports 0x8017EF4
IsPositionMagicSealed 0x8018C98
MapFillMovement 0x801A4EC
PlayerPhase_BackToMove 0x801D008
MaybeRunPostActionEvents 0x801D300
DisplayMoveRangeGraphics 0x801DA98
PlayerPhase_HandleAutoEnd 0x801DBA4
DisplayUnitStandingAttackRange 0x8022C30
ItemCommandEffect 0x80232E8
MakeTradeTargetList 0x80252D0
TradeMenu_802DAFC 0x802DAFC
CpPerform_StealWait 0x803A69C
AiScriptCmd_19_MoveTowardsTerrain 0x803D2D8
AiScriptCmd_1A_MoveTowardsTerrain 0x803D354
ekrBattle_8050304 0x8050304
ekrBattle_CheckForLevelup_8050C34 0x8050C34
ekrBattleStarting_8056024 0x8056024
StartEkrNamewinAppear 0x8056E10
loadBaseAppear 0x8056F20
loadFireOBJ 0x805DD1C
StartSubSpell_efxElfireOBJ 0x805E030
IsThereClosedDoorAt 0x80831F0
MaybeCallEndEvent 0x80832E8
EvCheck0E_ 0x8083B2C
NewChapterStatusScreen 0x808E764
GetGlobalCompletionCount 0x80A4BB0
GetLastSuspendSaveId 0x80A63B0
GetChapterTacticsRank 0x80B6144
m4aSoundMode 0x80D0714
ReadSramFast_Core 0x80D16E4
GetUnitUseFlags 0x8018B28
AiGetUnitReachWeightWithEquippedWeapon 0x803E1EC
EkrTriangle_OnLoop 0x8074F80
SetupDebugFontForBG 0x800378C
MoveHiObjProc 0x80054F4
GenSomeLongPopupText 0x801106C
FutureCall_Loop 0x80148A0
OnVBlankMain 0x80152A4
OnGameLoopMain 0x80152F4
EnsureCameraOntoPosition 0x8015E0C
UpdateGameTileGfx 0x8019B18
Destruct6CBMXFADE 0x801DDA8
BMXFADEExists 0x801DE18
ForceMenuItemPanel 0x801E684
FillBallistaRangeMaybe 0x8025728
SomethingSMS_16x16 0x802695C
GetUnitTotalSupportLevels 0x8028264
TradeMenu_802DAAC 0x802DAAC
ExecFortify 0x802F154
LoadPlayerUnitsFromUnitStack 0x8031714
GetNearLevel 0x80319F8
KillUnitIfNoHealth 0x8032750
CanActiveUnitUseRescue 0x8034470
CanActiveUnitUseTrade 0x803448C
NewUnitInfoWindow_WithAllLines 0x8034C18
MineFireTrap_DoSomeBWLStuffWhenKill 0x80374F4
CpPhase_Init 0x80396AC
BskPhase_Init 0x8039718
CpOrder_BuildUnitList 0x8039858
CpPerform_UpdateMapMusic 0x8039EF4
CpPerform_BeginUnitMovement 0x8039FAC
CpPerform_TalkWait 0x803A274
CpPerform_WaitAction 0x803A5F8
GetLesserWeightedAdjacentPosition 0x803B718
SetupAiDangerMap 0x803E2F4
SioCon_8042E2C 0x8042E2C
SioPlaySomeIndexedSfx 0x804320C
NameSelect_8044FFC 0x8044FFC
NameSelect_8045068 0x8045068
SetMoveUnitMoveManual_Unique 0x804C31C
Menu_GetCursorGfxCurrentPosition 0x804F400
StartTargetSelection 0x804FA3C
StartEkrBattle 0x804FDD4
ekrBattle_8050134 0x8050134
ekrBattle_WaitForTriangleAttackAnim 0x8050338
ekrBattle_WaitForClassChange 0x8050440
ekrBattle_WaitForLevelup_8050C6C 0x8050C6C
ekrBattle_WaitForPopup 0x8050CA8
ekrBattle_8050DA8 0x8050DA8
StartEfxStatusCHG 0x8052D8C
EndEfxWeaponIcon 0x8054ED4
MainUpdate_8055C68 0x8055C68
ekrBattleStarting_8056078 0x8056078
StartEkrWindowAppear 0x8056D24
PlayBattleCroudSfxIfArena 0x805B07C
RunBattleForecastTutorialEvent 0x805B094
loadFimbulvetrOBJ2Fall 0x805E53C
DeleteAnimsOnPopup 0x8075B3C
BattlePopup_Wait16Frames 0x807606C
ekrPopup_MarkEnd 0x807621C
DrawUnitWeaponRank 0x8087788
Loop26CPI 0x808D6D4
Loop46CPI 0x808D71C
AtMenu_LockGame 0x8096424
NullifyBattleDamageIfUsingStone 0x8096BC4
UpdateNextSuspendSaveId 0x80A63E0
savemenu_SetDifficultyChoice 0x80AA52C
_AP_RegisterGraphics 0x80092E4
GetConvoyTotalGoldValue 0x801737C
UnitHasItem 0x80179F8
IsAnyEnemyUnitAlive 0x8084EE8
ProcInterpretCode 0x8003394
CanUnitUseWeapon 0x8016750
ForEachPosInRange 0x8024F18
CheckSomethingSaveRelated 0x8047AB8
GetDeadUnitAmount 0x80B622C
__modsi3 0x80D1994
strlen 0x80D1D88
GetUnitEquippedItem 0x8016B28
GetUnitEquippedItemSlot 0x8016B58
RefreshTrapFogVision 0x801A174
GetSupportDataIdForOtherUnit 0x80283A8
BattleLoadDefense 0x802AA44
__umodsi3 0x80D1B4C
DeleteEach6CDifferedLoop 0x80AD31C
__divsi3 0x80D18FC
EndEachProcMarked 0x8003040
GetIconTileIndex 0x8003650
MakeTargetListForDoorAndBridges 0x8025814
CanUseChestKey 0x80290FC
BattleLoadAS 0x802AB74
BattleApplySRankBonuses 0x802AD54
AiTryDoStealAdjacent 0x803EE4C
loadFimbulvetrBG 0x805E318
loadResireBG 0x805F4B0
GetGameTotalTurnCount2 0x80A4488
SampleFreqSet 0x80D0670
CopyTileGfxForObj 0x8013020
ProcInst0F_Mark 0x80032D4
StoreNumberStringToSmallBuffer 0x80038E0
DrawSpecialUiDecNumber 0x8004B48
_HiObjProc_Loop 0x8005488
StartDialogueParentless 0x8006A70
Dialogue_SetDefaultTextColor 0x8006B10
SetNextChapterId 0x8009F64
Popup_CreateExt 0x8011490
RegisterObjectTileGraphics 0x8012FF4
GetSomethingInPaletteBB_2A 0x80134A8
StartPaletteAnimator_ 0x80144E4
GetItemRange 0x80176A0
GetItemEffectivenessPtr 0x80176D0
UnitRescue 0x801834C
GetUnitSkill 0x80191D0
GetUnitSpeed 0x8019210
GenericStaffSelection_OnSelect 0x8029550
AddTrapExt 0x802E2E0
GetChapterMapPointer 0x8034640
GetChapterEventDataPointer 0x80346B0
CpPhase_Cleanup 0x8039778
AiScriptCmd_1B_NoOp 0x803D3D0
ekrBattle_8050158 0x8050158
ekrBattle_80505EC 0x80505EC
PauseEfxWeaponIcon 0x8054EF0
SpellFx_Begin 0x8055160
getSpecialAnimationEffectInfo 0x806FA28
setSpecialAnimationEffectInfoState 0x806FA54
GetSpellAssocStructPtr 0x8078214
IsThereClosedChestAt 0x80831AC
CheckEventId 0x8083DA8
UpdateLastUsedGameSaveSlot 0x80A4D80
SaveMetadata_VerifyChecksum 0x80A6430
GetChapterSurvivalRank 0x80B5E6C
SoundMainBTM 0x80CF8F0
ply_tempo 0x80CFA24
ply_voice 0x80CFA4C
ply_xwave 0x80D157C
_div 0x80D1AD4
memset 0x80D1C6C
ClearOAMBuffer 0x80D7498
ComputeChecksum32 0x80D74C0
GetChapterAllyUnitCount 0x8012344
AddTrap 0x802E2B8
Text_DrawGlyphManual 0x8004A34
GetPartyTotalGoldValue 0x8017450
ClearMapWith 0x80197E4
SomethingSMS_16x16_0 0x80268C8
SomethingSMS_16x32 0x8026A38
SomethingSMS_32x32 0x8026B28
InitBattleUnitFromUnit 0x802A584
BattleLoadCrit 0x802AC18
TryRemoveUnitFromBallista 0x8037A6C
SMS_SyncDirect 0x8026F2C
ARM_PushToHiOAM 0x8000494
ARM_PushToLoOAM 0x8000534
GetPositionRangeWeight 0x803AE3C
GetEffectiveTileMovCost 0x803DB08
ARM_FillRect 0x80003A8
ProcInst00_End 0x80030E8
ProcInst02_CallRoutine 0x8003104
ProcInst16_CallRoutine2 0x8003118
ProcInst05_AddChild 0x80031A8
ProcInst06_AddBlockingChild 0x80031C4
ProcInst07_BuggedAddGlobal 0x80031E0
ProcInst09_EndAllOf 0x8003228
ProcInst0A_BreakLoopForAll 0x8003244
ProcInst0C_GotoLabel 0x800327C
PrintDebugNumberDec 0x8003BFC
PrintDebugNumberHex 0x8003C20
FACE_Load 0x8005594
StartDialogueFromIndex 0x8006A30
NewGameControl 0x8009F08
Event20_ 0x800E7C4
PopupIconUpdaterLoop 0x8011254
ItemGot_DisplayLePopup 0x8011524
ItemGot_GotLeItem 0x8011538
StartFadeInBlack 0x8013CD0
StartFadeOutBlack 0x8013CEC
StartBlockingFadeInBlack 0x8013D08
StartBlockingFadeOutBlack 0x8013D20
StartBlockingFadeInWhite 0x8013D38
StartBlockingFadeOutWhite 0x8013D50
StartBlockingFadeInBlackSlow 0x8013DC0
SomeDrawTextCentered 0x80143D8
StartPaletteAnimator 0x8014490
SetupFutureCall 0x80148E4
MapMain_StartPlayerPhaseAndApplyAction 0x80154A4
UpdatePlayMapMusic 0x80160D0
GetItemData 0x80177B0
UnitGive 0x80183C8
GetUnitLastItem 0x8018D34
DebugMenu_ErasedEffect 0x801C018
PlayerPhase_CancelAction 0x801CFF0
PlayerPhase_DisplayUnitMovement 0x801D624
Make6CKOIDOAMM 0x801DCD0
MenuCommand_DrawExtraItem 0x801E144
SendToConvoyMenu_NormalEffect 0x801E188
EndMenuItemPanel 0x801EA54
StartUnitSwapAnimation 0x801EC10
MineFireEffectGfx_Setup 0x801F630
NewMineTrapEffectGfx 0x801F6BC
BgMoverProc_Update 0x801FD90
BeginLightRuneMapAnim 0x8021684
BeginMineMapAnim 0x8022300
MapMenuCommand_UnitEffect 0x802260C
MapMenuCommand_DangerZoneUnusedEffect 0x80226F8
GenericSelection_BackToUM 0x8022748
GenericSelection_BackToUM_CamWait 0x802282C
RescueEffect 0x80228DC
DropEffect 0x8022948
DropSelection_OnSelect 0x8022968
TakeEffect 0x80229D4
GiveEffect 0x8022A3C
MakeUnitRescueTransferGraphics 0x8022A5C
ItemSelectMenu_Effect 0x8023428
FillBallistaRange 0x80239CC
StaffItemSelect_Effect 0x8023BC8
StaffItemSelect_OnHover 0x8023C14
RescueSelection_OnChange 0x802469C
RideCommandEffect 0x8024920
ForEachPosIn12Range 0x8025038
ForEachUnitInMagBy2Range 0x802506C
MakeRescueTargetList 0x80253B4
MakeDropTargetList 0x8025440
MakeTakeTargetList 0x80254E0
MakeTargetListForUnlock 0x80262C8
WarpTargetPosSelect_Confirm 0x80297D0
WarpTargetPosSelect_Cancel 0x802980C
WarpTargetPosSelect_Destruct 0x8029840
WarpTargetSelection_OnSelect 0x8029854
HammerneTargetSelection_OnChange 0x8029A08
GenericSelection_DeleteBBAndBG 0x8029D28
BATTLE_SyncMapFromBattle 0x802A2F4
UpdateActiveUnitFromBattle 0x802CC1C
FinishUp10ExpBattle 0x802CC38
TradeMenu_InitGraphics 0x802D794
TradeMenu_802DB48 0x802DB48
AddGasTrap 0x802E330
AddArrowTrap 0x802E350
AddMapChange 0x802E5F8
ExecStandardHeal 0x802EB98
ExecRescueStaff 0x802EEF8
ExecWarpStaff 0x802EFAC
ExecUnlock 0x802F274
ExecHammerne 0x802F2B4
ExecSomeSelfHeal 0x802F380
ExecItemMine 0x802FA4C
ExecTorchStaff 0x802FB88
ResetGameState 0x8030DD8
StartMapMain 0x80311BC
ActionRescue 0x8032164
ActionVisitAndSieze 0x8032270
ActionArena 0x8032344
ActionDance 0x8032358
ActionTalk 0x80323A8
SpriteJumpAnimation_Cleanup 0x8032664
BATTLE_HandleUnitDeaths 0x803286C
GetUnitCommandUseFlags 0x80344A8
NewUnitInfoWindow 0x80347A8
SetupUnitRescueWindow 0x8035204
ExecTrapForActionTarget 0x80377CC
ExecTrap_QuietMaybe 0x8037830
AddBallista 0x8037A04
CpOrder_Main 0x8039788
CpPerform_StaffWait 0x803A204
CpPerform_ChestWait 0x803A23C
CpPerform_ExitBallistaWait 0x803A2E0
AiScriptCmd_01_FunctionCall 0x803C6EC
IsUnitEnemyOrInTheAiInstList 0x803C8AC
AiScriptCmd_16 0x803CF28
InitAiRangeMoveMapForUnitWithDoorsPassable 0x8040F88
SioCon_8042E0C 0x8042E0C
NameSelect_8044FE4 0x8044FE4
NameSelect_804503C 0x804503C
StartNameSelect 0x8048260
EndEkrBattleDeamon 0x804FD8C
EkrBattleDeamon_OnEnd 0x804FDBC
NewEkrLvlupFan 0x8050DE4
EkrGauge_80511F8 0x80511F8
StartEfxDeadPika 0x8053120
EndEfxHPBarColorChange 0x80546B0
ResumeEfxWeaponIcon 0x8054F00
ekrBattleEnding_8056228 0x8056228
ekrBattleEnding_8056484 0x8056484
EkrChienCHR_OnLoop 0x8059924
StartEkrAnimeDrvProc 0x805A9C0
EndEkrAnimeDrvProc 0x805A9E0
StartEkrUnitMainMini 0x805AA00
EkrUnitMainMini_OnLoop 0x805AA4C
